uen,issuance_agency_id,entity_name,entity_type_description,business_constitution_description,company_type_description,paf_constitution_description,entity_status_description,entity_active,registration_incorporation_date,year_rego,uen_issue_date,address_type,block,street_name,level_no,unit_no,building_name,postal_code,other_address_line1,other_address_line2,account_due_date,annual_return_date,primary_ssic_code
197101149R,ACRA,TANGLIN DENTAL & MEDICAL SUPPL IES (PRIVATE) LIMITED,Local Company,na,Exempt Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,Non-Active,19/10/71,1971,19/10/71,LOCAL,19,TANGLIN ROAD,6,22,TANGLIN SHOPPING CENTRE,247909,na,na,30/12/84,29/8/83,86204
01642000D,ACRA,SAN CHOO DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,14/10/74,1974,14/10/74,LOCAL,7,TANJONG PAGAR PLAZA,2,104,na,81007,na,na,na,na,86204
03914200X,ACRA,BEE HUA DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,15/10/74,1974,15/10/74,LOCAL,130,CROSS STREET,na,na,na,106,na,na,na,na,86204
01569500W,ACRA,LEE WAH DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,19/10/74,1974,19/10/74,LOCAL,255,JALAN BESAR,na,na,na,208928,na,na,na,na,86204
01412700L,ACRA,HO PHIN SAN DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,24/10/74,1974,24/10/74,LOCAL,765,NORTH BRIDGE ROAD,na,na,na,198733,na,na,na,na,86204
02093700L,ACRA,GUAN HENG DENTIST,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,Non-Active,5/11/74,1974,5/11/74,LOCAL,24,JOO CHIAT ROAD,na,na,na,427359,na,na,na,na,86204
02519200X,ACRA,MAYFAIR DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,6/11/74,1974,6/11/74,LOCAL,297,TANJONG KATONG ROAD,na,na,na,437080,na,na,na,na,86204
01348900C,ACRA,E D LONG DENTAL SURGERY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,8/11/74,1974,8/11/74,LOCAL,48,SELEGIE ROAD,na,na,na,718,na,na,na,na,86204
02998000C,ACRA,TAI WAH DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,9/11/74,1974,9/11/74,LOCAL,295,VICTORIA STREET,na,na,na,188037,na,na,na,na,86204
20167900X,ACRA,CHAI HUAT DENTIST,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,Non-Active,11/11/74,1974,11/11/74,LOCAL,188,SERANGOON ROAD,na,na,na,218063,na,na,na,na,86204
00378800L,ACRA,NAM NAM CHOP,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,16/11/74,1974,16/11/74,LOCAL,114,BUKIT MERAH VIEW,1,572,na,150114,na,na,na,na,86204
20204600A,ACRA,CHAN MEE DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,25/11/74,1974,25/11/74,LOCAL,248,GEYLANG ROAD,na,na,na,389306,na,na,na,na,86204
03403400E,ACRA,BEE WAH DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,6/12/74,1974,6/12/74,LOCAL,303,SOUTH BRIDGE ROAD,na,na,na,105,na,na,na,na,86204
20255400K,ACRA,BUKIT TIMAH NAM SENG DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Ceased Registration,Non-Active,10/12/74,1974,10/12/74,LOCAL,144,UPPER BUKIT TIMAH ROAD,1,16,BEAUTY WORLD CENTRE,588177,na,na,na,na,86204
03604200E,ACRA,MUN TECK CHEE DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,10/12/74,1974,10/12/74,LOCAL,266,GEYLANG ROAD,na,na,na,389321,na,na,na,na,86204
02836600W,ACRA,MAY LEE DENTIST,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,Non-Active,17/12/74,1974,17/12/74,LOCAL,463,NORTH BRIDGE ROAD,na,na,na,718,na,na,na,na,86204
04229500M,ACRA,KANG NING DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,18/12/74,1974,18/12/74,LOCAL,167,SERANGOON ROAD,na,na,na,821,na,na,na,na,86204
04134900L,ACRA,THYE HENG DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,19/12/74,1974,19/12/74,LOCAL,516,NORTH BRIDGE ROAD,na,na,na,188740,na,na,na,na,86204
04445200D,ACRA,LIM PONG LENG DENTAL SURGERY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Ceased Registration,Non-Active,26/12/74,1974,26/12/74,LOCAL,101,UPPER CROSS STREET,2,36,PEOPLE'S PARK CENTRE,58357,na,na,na,na,86204
20323100K,ACRA,KIM WAH DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,7/1/75,1975,7/1/75,LOCAL,700,UPPER SERANGOON ROAD,na,na,na,534597,na,na,na,na,86204
03610800J,ACRA,SIN KONG DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,13/1/75,1975,13/1/75,LOCAL,25,WEST COAST GROVE,na,na,WEST COAST GARDENS,127836,na,na,na,na,86204
04982600W,ACRA,HOON CHOON DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Ceased Registration,Non-Active,21/1/75,1975,21/1/75,LOCAL,72,REDHILL ROAD,1,27,na,150072,na,na,na,na,86204
04191700J,ACRA,GUAN CHOON DENTAL CLINIC,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,Non-Active,23/1/75,1975,23/1/75,LOCAL,54A,CHANGI ROAD,na,na,na,419708,na,na,na,na,86204
04959300E,ACRA,YONG WAH DENTIST,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,Non-Active,30/1/75,1975,30/1/75,LOCAL,289,VICTORIA STREET,na,na,na,718,na,na,na,na,86204
05502600A,ACRA,AH KEONG DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,14/2/75,1975,14/2/75,LOCAL,311,SOUTH BRIDGE ROAD,na,na,na,105,na,na,na,na,86204
