name,address,lat,lng,type,planning_area,area_estimate_sqm,surface_type,current_use,land_owner,likely_permission_required_from,accessibility,residential_proximity,ura_space_link,onemap_link,suitability_score,reasons,recommendation
MULTI STOREY CAR PARK,256A ANG MO KIO STREET 21 MULTI STOREY CAR PARK SINGAPORE 561256,1.37039570498099,103.835904572804,carpark,Ang Mo Kio,250,asphalt,parking (potentially underutilized),NParks/HDB/Private,NParks/HDB/Private Management,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.37039570498099&lng=103.835904572804,85,"['Sufficient area (250 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
MULTI STOREY CAR PARK,255A ANG MO KIO STREET 21 MULTI STOREY CAR PARK SINGAPORE 561255,1.37042907046759,103.834671279085,carpark,Ang Mo Kio,250,asphalt,parking (potentially underutilized),NParks/HDB/Private,NParks/HDB/Private Management,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.37042907046759&lng=103.834671279085,85,"['Sufficient area (250 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
MULTI STOREY CAR PARK,352A ANG MO KIO STREET 32 MULTI STOREY CAR PARK SINGAPORE 561352,1.36410581493249,103.850935701696,carpark,Ang Mo Kio,250,asphalt,parking (potentially underutilized),NParks/HDB/Private,NParks/HDB/Private Management,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.36410581493249&lng=103.850935701696,85,"['Sufficient area (250 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
MULTI STOREY CAR PARK,323A ANG MO KIO AVENUE 3 MULTI STOREY CAR PARK SINGAPORE 561323,1.3675415210489,103.847809207008,carpark,Ang Mo Kio,250,asphalt,parking (potentially underutilized),NParks/HDB/Private,NParks/HDB/Private Management,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.3675415210489&lng=103.847809207008,85,"['Sufficient area (250 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
MULTI STOREY CAR PARK,347A ANG MO KIO AVENUE 3 MULTI STOREY CAR PARK SINGAPORE 561347,1.36732532230288,103.848923130951,carpark,Ang Mo Kio,250,asphalt,parking (potentially underutilized),NParks/HDB/Private,NParks/HDB/Private Management,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.36732532230288&lng=103.848923130951,85,"['Sufficient area (250 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
MULTI STOREY CAR PARK,712A ANG MO KIO AVENUE 6 MULTI STOREY CAR PARK SINGAPORE 561712,1.37087284313191,103.846806941877,carpark,Ang Mo Kio,250,asphalt,parking (potentially underutilized),NParks/HDB/Private,NParks/HDB/Private Management,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.37087284313191&lng=103.846806941877,85,"['Sufficient area (250 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
MULTI STOREY CAR PARK,132A ANG MO KIO STREET 12 MULTI STOREY CAR PARK SINGAPORE 561132,1.37170680912113,103.84196151089,carpark,Ang Mo Kio,250,asphalt,parking (potentially underutilized),NParks/HDB/Private,NParks/HDB/Private Management,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.37170680912113&lng=103.84196151089,85,"['Sufficient area (250 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
MULTI STOREY CAR PARK,130A ANG MO KIO STREET 12 MULTI STOREY CAR PARK SINGAPORE 561130,1.37070330698832,103.841898346105,carpark,Ang Mo Kio,250,asphalt,parking (potentially underutilized),NParks/HDB/Private,NParks/HDB/Private Management,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.37070330698832&lng=103.841898346105,85,"['Sufficient area (250 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
MULTI STOREY CAR PARK,731 ANG MO KIO CENTRAL 2 MULTI STOREY CAR PARK SINGAPORE 560731,1.37420246752271,103.846623092771,carpark,Ang Mo Kio,250,asphalt,parking (potentially underutilized),NParks/HDB/Private,NParks/HDB/Private Management,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.37420246752271&lng=103.846623092771,85,"['Sufficient area (250 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920,1.36932176584608,103.839630858752,school,Ang Mo Kio,320,concrete rooftop/asphalt,school facilities (after-hours potential),MOE/Private School,School Management/MOE,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.36932176584608&lng=103.839630858752,85,"['Sufficient area (320 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
ANG MO KIO SECONDARY SCHOOL,6 ANG MO KIO STREET 22 ANG MO KIO SECONDARY SCHOOL SINGAPORE 569362,1.36733710171069,103.842154973672,school,Ang Mo Kio,320,concrete rooftop/asphalt,school facilities (after-hours potential),MOE/Private School,School Management/MOE,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.36733710171069&lng=103.842154973672,85,"['Sufficient area (320 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
PATHLIGHT SCHOOL (ANG MO KIO CAMPUS 1),5 ANG MO KIO AVENUE 10 PATHLIGHT SCHOOL (ANG MO KIO CAMPUS 1) SINGAPORE 569739,1.35932650525362,103.854304474132,school,Ang Mo Kio,320,concrete rooftop/asphalt,school facilities (after-hours potential),MOE/Private School,School Management/MOE,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.35932650525362&lng=103.854304474132,85,"['Sufficient area (320 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
PATHLIGHT SCHOOL (ANG MO KIO CAMPUS 2),2 ANG MO KIO STREET 44 PATHLIGHT SCHOOL (ANG MO KIO CAMPUS 2) SINGAPORE 569250,1.36363517582629,103.85801093879,school,Ang Mo Kio,320,concrete rooftop/asphalt,school facilities (after-hours potential),MOE/Private School,School Management/MOE,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.36363517582629&lng=103.85801093879,85,"['Sufficient area (320 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
SCHOOL HOUSE BYTHEGARDEN @ AMK PTE. LTD.,340 ANG MO KIO AVENUE 1 SCHOOL HOUSE BYTHEGARDEN @ AMK PTE. LTD. SINGAPORE 560340,1.36445049628782,103.849464020848,school,Ang Mo Kio,320,concrete rooftop/asphalt,school facilities (after-hours potential),MOE/Private School,School Management/MOE,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.36445049628782&lng=103.849464020848,85,"['Sufficient area (320 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
ANG MO KIO INDUSTRIAL PARK 1,4002 ANG MO KIO INDUSTRIAL PARK 1 ANG MO KIO INDUSTRIAL PARK 1 SINGAPORE 569623,1.36170679279836,103.856489893354,industrial_space,Ang Mo Kio,350,concrete/asphalt,industrial/commercial space (may be underutilized),Private/Industrial,Industrial Estate Management/Private Owner,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.36170679279836&lng=103.856489893354,85,"['Sufficient area (350 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
ANG MO KIO INDUSTRIAL PARK 1,4024 ANG MO KIO INDUSTRIAL PARK 1 ANG MO KIO INDUSTRIAL PARK 1 SINGAPORE 569635,1.35816537356906,103.856360517024,industrial_space,Ang Mo Kio,350,concrete/asphalt,industrial/commercial space (may be underutilized),Private/Industrial,Industrial Estate Management/Private Owner,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.35816537356906&lng=103.856360517024,85,"['Sufficient area (350 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
ANG MO KIO INDUSTRIAL PARK 1,4027 ANG MO KIO INDUSTRIAL PARK 1 ANG MO KIO INDUSTRIAL PARK 1 SINGAPORE 569638,1.35910927019325,103.856774239167,industrial_space,Ang Mo Kio,350,concrete/asphalt,industrial/commercial space (may be underutilized),Private/Industrial,Industrial Estate Management/Private Owner,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.35910927019325&lng=103.856774239167,85,"['Sufficient area (350 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
